,0
499,blainville
500,huîtres
501,fines
502,claires
503,n°3
504,blainville
505,huîtres
506,gratinées
507,safran
508,piment
509,d’espelette
510,foie
511,gras
512,"canard,"
513,chutney
514,poivre
515,"timur,"
516,brioche
517,maison
518,saumon
519,fumé
520,"ficelle,"
521,perle
522,citron
523,salade
524,d’endive
525,demi
526,homard
527,"d’audreselles,"
528,mousseline
529,céleri
530,fèves
531,½
532,"crabe,"
533,"huîtres,"
534,"langoustines,"
535,"bulots,"
536,crevettes
537,grises
538,"royales,"
539,"mayonnaise,"
540,pain
541,seigle
542,vinaigre
543,l’échalote
544,…et
545,plus
546,si
547,voulez…homard…etc
548,personne
549,​
550,​
551,​
552,​
553,grammes
554,belle
555,sole
556,simplement
557,meunière
558,pavé
559,saumon
560,fumé
561,"chaud,"
562,épices
563,douces
564,dos
565,cabillaud
566,beurre
567,"salicornes,"
568,purée
569,butternut
570,waterzoï
571,"poissons,"
572,légumes
573,saison
574,bouillabaisse
575,calaisienne
576,filet
577,"turbot,"
578,fenouil
579,asperge
580,verte
581,filets
582,sole
583,calais
584,beurre
585,pamplemousse
586,homard
587,entier
588,"décortiqué,"
589,sauce
590,américaine
591,bavette
592,"angus,"
593,échalotes
594,confites
595,vin
596,rouge
597,pintade
598,"rôtie,"
599,carotte
600,cumin
601,rattes
602,touquet
603,filet
604,volaille
605,licques
606,graine
607,moutarde
608,pavé
609,bœuf
610,"angus,"
611,sauce
612,flamande
613,magret
614,canard
615,figues
616,romarin
617,noix
618,d’entrecôte
619,"angus,"
620,sauce
621,poivre
622,bearnaise
623,ris
624,"veau,"
625,sauce
626,morilles
627,petits
628,légumes
